            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458028.500000000, A.D. 2017-Oct-02 00:00:00.0000,  9.554757414550191E+07,  6.154575297378173E+07, -2.518210129237232E+07,  5.103142566699734E+01,  1.394391689282457E+01,  1.331748569698712E+01,  3.883029483476395E+02,  1.164102953337859E+08,  4.637695921120720E+01,
2458029.500000000, A.D. 2017-Oct-03 00:00:00.0000,  9.992727686142740E+07,  6.273172078361506E+07, -2.402394755850727E+07,  5.035692803446615E+01,  1.351491733528011E+01,  1.348742844153149E+01,  4.016349891273779E+02,  1.204071406092999E+08,  4.614197636941407E+01,
2458030.500000000, A.D. 2017-Oct-04 00:00:00.0000,  1.042503052248234E+08,  6.388208852116626E+07, -2.285214581725232E+07,  4.971903316616253E+01,  1.311919502493105E+01,  1.363401066264960E+01,  4.148988689139366E+02,  1.243835517331288E+08,  4.590429748684412E+01,
2458031.500000000, A.D. 2017-Oct-05 00:00:00.0000,  1.085196993065019E+08,  6.499957174387176E+07, -2.166856799297459E+07,  4.911494889358043E+01,  1.275314369569028E+01,  1.376052399635585E+01,  4.280940896596817E+02,  1.283393793943484E+08,  4.566577726818566E+01,
2458032.500000000, A.D. 2017-Oct-06 00:00:00.0000,  1.127382684353143E+08,  6.608659600935774E+07, -2.047482533621136E+07,  4.854212353074489E+01,  1.241364267992920E+01,  1.386972899505785E+01,  4.412206232191436E+02,  1.322746151551589E+08,  4.542784007452506E+01,
2458033.500000000, A.D. 2017-Oct-07 00:00:00.0000,  1.169086112670567E+08,  6.714533543038079E+07, -1.927230996012470E+07,  4.799822914198536E+01,  1.209798064819496E+01,  1.396395211122217E+01,  4.542788016939602E+02,  1.361893585771269E+08,  4.519157540550047E+01,
2458034.500000000, A.D. 2017-Oct-08 00:00:00.0000,  1.210331343467292E+08,  6.817774523679721E+07, -1.806222887983521E+07,  4.748114364255307E+01,  1.180379267722936E+01,  1.404516307678890E+01,  4.672692319512599E+02,  1.400837915944403E+08,  4.495781121835348E+01,
2458035.500000000, A.D. 2017-Oct-09 00:00:00.0000,  1.251140691170268E+08,  6.918558938359188E+07, -1.684563205401222E+07,  4.698893287275596E+01,  1.152900813376085E+01,  1.411503698437816E+01,  4.801927287481657E+02,  1.439581584651398E+08,  4.472717049941549E+01,
2458036.500000000, A.D. 2017-Oct-10 00:00:00.0000,  1.291534874011877E+08,  7.017046404958655E+07, -1.562343560224995E+07,  4.651983328265386E+01,  1.127180737266222E+01,  1.417500435314686E+01,  4.930502622409791E+02,  1.478127500347677E+08,  4.450011508867590E+01,
2458037.500000000, A.D. 2017-Oct-11 00:00:00.0000,  1.331533154283676E+08,  7.113381771824273E+07, -1.439644112364873E+07,  4.607223554403696E+01,  1.103058569804455E+01,  1.422629167157005E+01,  5.058429166562086E+02,  1.516478913462539E+08,  4.427697974689718E+01,
2458038.500000000, A.D. 2017-Oct-12 00:00:00.0000,  1.371153464893221E+08,  7.207696841658105E+07, -1.316535185489013E+07,  4.564466926134779E+01,  1.080392346627780E+01,  1.426995427950783E+01,  5.185718576586685E+02,  1.554639318571183E+08,  4.405799879592934E+01,
2458039.500000000, A.D. 2017-Oct-13 00:00:00.0000,  1.410412523282469E+08,  7.300111860854754E+07, -1.193078626711702E+07,  4.523578908819323E+01,  1.059056158150369E+01,  1.430690297733596E+01,  5.312383065734515E+02,  1.592612377114126E+08,  4.384332737814931E+01,
2458040.500000000, A.D. 2017-Oct-14 00:00:00.0000,  1.449325934219334E+08,  7.390736817745017E+07, -1.069328959082577E+07,  4.484436302295207E+01,  1.038938157579752E+01,  1.433792560369708E+01,  5.438435201997726E+02,  1.630401856880625E+08,  4.363305930924492E+01,
2458041.500000000, A.D. 2017-Oct-15 00:00:00.0000,  1.487908283726378E+08,  7.479672582338880E+07, -9.453343637127552E+06,  4.446926361101040E+01,  1.019938839694769E+01,  1.436370521098311E+01,  5.563887754374700E+02,  1.668011585920091E+08,  4.342724263536012E+01,
2458042.500000000, A.D. 2017-Oct-16 00:00:00.0000,  1.526173226241089E+08,  7.567011899040607E+07, -8.211375130602356E+06,  4.410946054053500E+01,  1.001969324826523E+01,  1.438483653671734E+01,  5.688753579286825E+02,  1.705445418490695E+08,  4.322589149738111E+01,
2458043.500000000, A.D. 2017-Oct-17 00:00:00.0000,  1.564133564663710E+08,  7.652840230504790E+07, -6.967762687681030E+06,  4.376401111989939E+01,  9.849496752608012E+00,  1.440184065292804E+01,  5.813045533108832E+02,  1.742707208836617E+08,  4.302899233860067E+01,
2458044.500000000, A.D. 2017-Oct-18 00:00:00.0000,  1.601801321105344E+08,  7.737236470684908E+07, -5.722842668508146E+06,  4.343204879665242E+01,  9.688076053983256E+00,  1.441517619918166E+01,  5.936776396867638E+02,  1.779800788613333E+08,  4.283650693485029E+01,
2458045.500000000, A.D. 2017-Oct-19 00:00:00.0000,  1.639187798299011E+08,  7.820273567843238E+07, -4.476914207230944E+06,  4.311277359327522E+01,  9.534776559068462E+00,  1.442524741821767E+01,  6.059958810461393E+02,  1.816729947166977E+08,  4.264837638894622E+01,
2458046.500000000, A.D. 2017-Oct-20 00:00:00.0000,  1.676303634164431E+08,  7.902019086309104E+07, -3.230243622124262E+06,  4.280544568406549E+01,  9.389005544195859E+00,  1.443241073625070E+01,  6.182605220471871E+02,  1.853498415888894E+08,  4.246452630407236E+01,
2458047.500000000, A.D. 2017-Oct-21 00:00:00.0000,  1.713158851636479E+08,  7.982535714102079E+07, -1.983068283595368E+06,  4.250938056638225E+01,  9.250225921149163E+00,  1.443698077582248E+01,  6.304727842455549E+02,  1.890109856910785E+08,  4.228487142887186E+01,
2458048.500000000, A.D. 2017-Oct-22 00:00:00.0000,  1.749762904543854E+08,  8.061881717195272E+07, -7.355999864568338E+05,  4.222394464419457E+01,  9.117950183581232E+00,  1.443923579206476E+01,  6.426338634907278E+02,  1.926567855299217E+08,  4.210931910369965E+01,
